"","date","season","holiday","snowfall","rainfall","rent_count","temperature","humidity","wind_speed","visibility","dewpoint_temp","solar_radiation","rep_count","rep_count_smooth"
"1",2017-12-01,"Winter","No Holiday",-0.207935018086612,-0.301216703609661,-0.718560149173275,-1.21069089636016,-1.29074036825483,-0.366447407941979,0.950591172001948,-1.64331655341081,-0.701162247069971,732,732
"2",2017-12-02,"Winter","No Holiday",-0.207935018086612,-0.301216703609661,-0.817598625917283,-0.877656055764478,-0.161707720214059,-0.0660469499996491,-0.0529732073705069,-0.732614678561026,-0.701162247069971,758,750.2
"3",2017-12-03,"Winter","No Holiday",-0.207935018086612,0.0364235169432028,-0.944418565133774,-0.733048822347933,1.65728932385163,-0.0660469499996491,-2.03317268938807,-0.102424351660754,-0.701162247069971,716,726.26
"4",2017-12-04,"Winter","No Holiday",-0.207935018086612,-0.292775698095839,-0.797517989884541,-1.13619626096376,-0.914396152241242,2.93795762942364,0.794401366983337,-1.30132302234908,-0.701162247069971,629,658.178
"5",2017-12-05,"Winter","No Holiday",-0.207935018086612,-0.301216703609661,-0.838654050106954,-1.44732091467814,-1.47891247626163,-2.46925061353828,0.950591172001948,-1.66637229707789,-0.701162247069971,577,601.3534
"6",2017-12-06,"Winter","No Holiday",0.784625842275119,-0.19148363192998,-0.99832435021196,-1.01349921442851,1.15549703583351,-1.64314935419688,-0.132863394994969,-0.790254037728734,-0.701162247069971,707,675.30602
"7",2017-12-07,"Winter","No Holiday",0.9923711386299,-0.301216703609661,-0.815064176709267,-0.991589027547211,0.559618693811991,0.309453622428263,-1.32852328168916,-0.498214617945681,-0.701162247069971,790,755.591806
"8",2017-12-08,"Winter","No Holiday",-0.207935018086612,-0.301216703609661,-0.865460724422508,-1.42102869042059,-1.0712062422469,-0.141147064485232,0.840181137419827,-1.49729684351928,-0.701162247069971,711,724.3775418
"9",2017-12-09,"Winter","No Holiday",-0.207935018086612,-0.301216703609661,-0.943346298161152,-1.14057829834002,-0.632137990231048,-1.1174485527978,0.859031631128969,-1.13609019273498,-0.701162247069971,562,610.71326254
"10",2017-12-10,"Winter","No Holiday",3.54302172165249,0.0448645224570243,-1.3118162214804,-1.08361181244865,0.371446585805195,-0.817048094855472,-1.04576587605202,-0.53664085739082,-0.701162247069971,711,680.913978762
"11",2017-12-11,"Winter","No Holiday",-0.207935018086612,-0.301216703609661,-1.07835445789585,-1.61822037235224,-1.2593783502537,3.08815785839481,0.950591172001948,-1.68942804074498,-0.701162247069971,576,607.4741936286
"12",2017-12-12,"Winter","No Holiday",-0.207935018086612,-0.301216703609661,-1.11266700101976,-1.93372706344289,-0.820310098237844,0.760054309341757,0.930843035735227,-1.84313299852553,-0.701162247069971,542,561.64225808858
"13",2017-12-13,"Winter","No Holiday",-0.207935018086612,-0.301216703609661,-1.06168558041236,-1.90743483918533,-1.19665431425143,0.00905316448593294,0.913787827141241,-1.87003136613713,-0.701162247069971,537,544.392677426574
"14",2017-12-14,"Winter","No Holiday",-0.207935018086612,-0.301216703609661,-1.02474110926474,-1.62698444710476,-0.883034134240109,-1.1174485527978,0.321343739139613,-1.697113288634,-0.701162247069971,623,599.417803227972
"15",2017-12-15,"Winter","No Holiday",-0.207935018086612,-0.301216703609661,-0.946758056710404,-1.35091609240045,-0.475327900225385,-1.26764878176897,-0.903040709397085,-1.29748039840456,-0.701162247069971,714,679.625340968392
"16",2017-12-16,"Winter","No Holiday",-0.207935018086612,-0.301216703609661,-1.19688869777844,-1.57439999858965,-1.0712062422469,1.81145591213991,0.902118473892724,-1.73938215202366,-0.701162247069971,635,648.387602290518
"17",2017-12-17,"Winter","No Holiday",-0.207935018086612,-0.301216703609661,-1.28033056401158,-1.73215334413497,-1.13393027824917,0.459653851399427,0.950591172001948,-1.8354477506365,-0.701162247069971,396,471.716280687155
